year,id,age,income,cohort
1983.0,4173.0,30.0,19375.9,1953.0
1982.0,4173.0,29.0,17741.9,1953.0
1988.0,4173.0,35.0,27071.0,1953.0
1979.0,4173.0,26.0,15242.32,1953.0
1985.0,4173.0,32.0,24687.0,1953.0
1984.0,4173.0,31.0,21150.0,1953.0
1978.0,4173.0,25.0,12373.8,1953.0
1997.0,4173.0,44.0,46730.48,1953.0
1996.0,4173.0,43.0,31367.9,1953.0
1987.0,4173.0,34.0,25109.0,1953.0
1980.0,4173.0,27.0,16979.0,1953.0
1981.0,4173.0,28.0,17829.0,1953.0
1991.0,4173.0,38.0,27346.0,1953.0
1986.0,4173.0,33.0,21826.5,1953.0
1990.0,4173.0,37.0,23383.7,1953.0
1992.0,4173.0,39.0,38158.0,1953.0
1993.0,4175.0,34.0,35548.5,1959.0
1994.0,4175.0,35.0,43818.3,1959.0
1995.0,4175.0,36.0,42854.23,1959.0
1989.0,4175.0,30.0,40854.9,1959.0
1987.0,4175.0,28.0,36165.5,1959.0
1997.0,4175.0,38.0,29957.07,1959.0
1990.0,4175.0,31.0,35058.8,1959.0
1988.0,4175.0,29.0,43372.5,1959.0
1985.0,4175.0,26.0,33307.01,1959.0
1992.0,4175.0,33.0,33115.0,1959.0
1986.0,4175.0,27.0,32964.0,1959.0
1991.0,4175.0,32.0,31471.0,1959.0
1995.0,4179.0,29.0,4892.59,1966.0
1997.0,4179.0,31.0,6118.58,1966.0
1994.0,4179.0,28.0,7433.52,1966.0
1992.0,4179.0,26.0,18769.73,1966.0
1991.0,4179.0,25.0,20613.5,1966.0
1993.0,4179.0,27.0,8306.25,1966.0
1996.0,4179.0,30.0,10394.97,1966.0
1994.0,4182.0,35.0,53254.32,1959.0
1996.0,4186.0,52.0,82578.19,1944.0
1997.0,4186.0,53.0,69957.45,1944.0
1995.0,4186.0,51.0,75796.0,1944.0
1994.0,4186.0,50.0,63694.04,1944.0
1997.0,4188.0,40.0,94567.19,1957.0
1995.0,4188.0,38.0,11314.89,1957.0
1996.0,4188.0,39.0,50112.15,1957.0
1996.0,5001.0,53.0,21058.46,1943.0
1995.0,5001.0,52.0,23254.15,1943.0
1993.0,5001.0,50.0,9278.75,1943.0
1990.0,5001.0,47.0,33492.6,1943.0
1994.0,5001.0,51.0,25209.52,1943.0
1992.0,5001.0,49.0,7397.15,1943.0
1997.0,5001.0,54.0,5388.0,1943.0
1982.0,5001.0,39.0,23945.75,1943.0
1983.0,5001.0,40.0,14380.4,1943.0
1978.0,5001.0,35.0,13206.5,1943.0
1989.0,5001.0,46.0,19699.75,1943.0
1985.0,5001.0,42.0,9440.2,1943.0
1984.0,5001.0,41.0,6789.1,1943.0
1979.0,5001.0,36.0,13018.85,1943.0
1991.0,5001.0,48.0,27534.25,1943.0
1987.0,5001.0,44.0,17065.7,1943.0
1986.0,5001.0,43.0,9729.45,1943.0
1980.0,5001.0,37.0,15505.78,1943.0
1988.0,5001.0,45.0,28475.1,1943.0
1981.0,5001.0,38.0,15482.44,1943.0
1980.0,5002.0,35.0,15505.78,1945.0
1979.0,5002.0,34.0,13018.85,1945.0
1986.0,5002.0,41.0,9729.45,1945.0
1989.0,5002.0,44.0,19699.75,1945.0
1981.0,5002.0,36.0,15482.44,1945.0
1985.0,5002.0,40.0,9440.2,1945.0
1995.0,5002.0,50.0,23254.15,1945.0
1996.0,5002.0,51.0,21058.46,1945.0
1990.0,5002.0,45.0,33492.6,1945.0
1991.0,5002.0,46.0,27534.25,1945.0
1983.0,5002.0,38.0,14380.4,1945.0
