Year,id,delta_income,income
1979.0,173170.0,-867.960000000001,9085.38
1979.0,174001.0,9972.45,22579.45
1979.0,174004.0,1557.7999999999993,16350.25
1979.0,174005.0,-1692.7700000000004,9706.32
1979.0,174170.0,1434.3600000000006,22151.62
1979.0,176021.0,584.3299999999981,20646.28
1979.0,176170.0,584.3299999999981,20646.28
1979.0,178170.0,1798.7700000000004,11391.92
1979.0,181001.0,2155.039999999999,17848.91
1979.0,181021.0,-25.229999999999563,11850.6
1979.0,186004.0,3715.0,29576.15
1979.0,186171.0,3715.0,29576.15
1979.0,186172.0,6280.0,24049.85
1979.0,189001.0,3230.4800000000005,10422.18
1979.0,190173.0,2130.95,9983.75
1979.0,191003.0,2619.550000000003,21410.4
1979.0,191170.0,2619.550000000003,21410.4
1979.0,195001.0,-373.09000000000015,24642.12
1979.0,197002.0,982.5,17751.5
1979.0,197003.0,775.9000000000015,17786.65
1979.0,198001.0,-14851.849999999999,28226.9
1979.0,198003.0,-14851.849999999999,28226.9
1979.0,198170.0,-14851.849999999999,28226.9
1979.0,198171.0,1416.7999999999993,20810.8
1979.0,200001.0,-993.0999999999985,34257.65
1979.0,200002.0,-993.0999999999985,34257.65
1979.0,203001.0,6329.75,33782.1
1979.0,203004.0,3264.2299999999996,22814.73
1979.0,203170.0,1634.680000000002,17950.74
1979.0,203171.0,3264.2299999999996,22814.73
1979.0,205002.0,239.35000000000036,12513.45
1979.0,209003.0,4205.0999999999985,17746.35
1979.0,214001.0,3346.09,19766.88
1979.0,215001.0,7338.960000000001,19137.81
1979.0,215170.0,-1899.9000000000015,18856.85
1979.0,217001.0,-577.3900000000012,13610.55
1979.0,217003.0,5706.41,17663.43
1979.0,218001.0,1035.2999999999993,18608.26
1979.0,220001.0,226.48999999999978,9397.06
1979.0,221001.0,4728.75,15758.0
1979.0,221002.0,4728.75,15758.0
1979.0,222170.0,5480.510000000002,22631.04
1979.0,223002.0,15179.8,32096.3
1979.0,223171.0,1819.2800000000007,10053.58
1979.0,227001.0,-1170.6899999999987,26802.56
1979.0,228001.0,-9600.450000000004,24390.85
1979.0,228002.0,-9600.450000000004,24390.85
1979.0,228003.0,-8323.519999999997,19209.15
1979.0,228005.0,-11245.300000000003,22746.0
1979.0,231001.0,-2090.2000000000007,25801.55
1979.0,231003.0,1973.8100000000004,7821.75
1979.0,238001.0,1721.1500000000015,25685.9
1979.0,242001.0,2363.2599999999984,11493.96
1979.0,245021.0,4397.52,17892.41
1979.0,245171.0,9678.93,21254.93
1979.0,246001.0,-2345.7999999999993,23261.95
1979.0,246170.0,3000.25,16658.25
1979.0,250001.0,-5572.8499999999985,22314.07
1979.0,254001.0,7055.080000000002,26852.65
1979.0,257001.0,2208.149999999998,23167.48
1979.0,257002.0,2208.149999999998,23167.48
1979.0,257171.0,669.3799999999992,12666.83
1979.0,263170.0,6664.299999999999,23324.55
1979.0,263171.0,1018.75,12895.25
1979.0,266001.0,3877.170000000002,26348.18
1979.0,267170.0,1987.1500000000015,19952.93
1979.0,269170.0,3417.5800000000017,38764.47
1979.0,277002.0,-723.1500000000015,11277.3
1979.0,277004.0,5798.200000000001,12657.2
1979.0,280001.0,7697.82,26659.41
1979.0,280003.0,-3834.699999999997,17779.15
1979.0,284001.0,10385.079999999998,40130.81
1979.0,284002.0,10385.079999999998,40130.81
1979.0,287004.0,5852.199999999999,16493.21
1979.0,287005.0,4909.82,15131.4
1979.0,295002.0,-593.5999999999985,21562.65
1979.0,295003.0,-2488.27,1918.98
1979.0,297003.0,9052.810000000001,18451.06
1979.0,297004.0,-4689.57,7879.15
1979.0,297007.0,4878.0599999999995,9338.63
1979.0,297170.0,3001.74,16329.28
1979.0,297172.0,2963.2999999999993,12304.5
1979.0,297175.0,-4689.57,7879.15
1979.0,301001.0,3190.0699999999997,26741.0
1979.0,301003.0,997.5499999999993,16113.06
1979.0,301171.0,992.4799999999996,17162.44
1979.0,302004.0,1524.5699999999997,23436.1
1979.0,302021.0,2316.16,29493.95
1979.0,302022.0,5382.15,17663.55
1979.0,302170.0,-2565.5200000000004,19999.95
1979.0,302173.0,2316.16,29493.95
1979.0,303001.0,9027.5,23943.0
1979.0,303002.0,-3471.050000000003,20338.35
1979.0,306002.0,-1099.9899999999998,10299.84
1979.0,307003.0,2238.4799999999996,24830.38
1979.0,308002.0,2508.1500000000015,22677.56
1979.0,308003.0,-7163.5,20623.75
1979.0,308004.0,-3593.630000000001,13344.52
1979.0,308172.0,-7163.5,20623.75
1979.0,308174.0,2508.1500000000015,22677.56
1979.0,310001.0,-5564.0999999999985,25723.15
1979.0,311002.0,-1219.2199999999993,9389.27
1979.0,312003.0,236.4300000000003,15366.7
1979.0,315003.0,2145.4000000000015,33210.9
1979.0,316002.0,472.5100000000002,15160.26
1979.0,317170.0,1841.050000000003,20733.4
1979.0,317171.0,945.1800000000003,22464.55
1979.0,318001.0,416.2399999999998,15050.99
1979.0,319001.0,2029.1000000000022,25840.15
1979.0,319005.0,4034.17,14731.67
1979.0,320001.0,1883.5499999999993,25914.1
1979.0,320002.0,1883.5499999999993,25914.1
1979.0,321001.0,1634.6599999999999,21569.01
1979.0,321170.0,6406.08,22092.46
1979.0,322001.0,-644.2000000000007,19970.5
1979.0,322002.0,-644.2000000000007,19970.5
1979.0,323001.0,5573.550000000003,34493.3
1979.0,323003.0,1618.2000000000007,15887.95
1979.0,324170.0,1687.6699999999983,23463.53
1979.0,325002.0,997.369999999999,10950.89
1979.0,326003.0,-1509.9800000000014,15498.67
1979.0,326004.0,-1526.4500000000007,7493.5
1979.0,327001.0,1038.4000000000015,27155.15
1979.0,331001.0,4423.4000000000015,37983.4
1979.0,331170.0,5056.65,18140.5
